CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,AREA,CLAVE_MAJOR_PGMA_ACAD,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,V_SOL_BSE,BECA_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,BECA_BHP,V_POSSTEAM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,prcBeca_f,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F
Estado de México,ESM,Mexicana,F,PTM,PTM,Ciudad Adolfo López Mateos,Atizapán de Zaragoza,Estado de México,México,93.0,1056,No Tec,2024-01-29T00:00:00.000Z,Perfil A,0,0,Estado de México,15.0,Solicitud,42.0,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Querétaro,QRO,Mexicana,F,PBB,PBB,Santiago de Querétaro,Querétaro,Querétaro,México,92.5,1054,No Tec,2024-01-24T00:00:00.000Z,Perfil A,1,1,Querétaro,14.0,Marketing digital,50.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Guadalajara,STA,Mexicana,M,PTM,PTM,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Jalisco,México,98.5,1351,No Tec,2024-02-02T00:00:00.000Z,Perfil A+,1,1,Guadalajara,14.0,Solicitud,43.0,96.0,21.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,PTM,PTM,Ciudad de México,Álvaro Obregón,Ciudad de México,México,98.5,1170,No Tec,2024-02-20T00:00:00.000Z,Perfil A+,1,1,Santa Fe,14.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Sonora Norte,HER,Mexicana,M,PBB,PBB,Hermosillo,Hermosillo,Sonora,México,87.0,1173,No Tec,2024-02-01T00:00:00.000Z,Perfil A,1,1,Sonora Norte,15.0,Solicitud,28.0,76.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Estado de México,CEM,Mexicana,M,PBB,PBB,Cuautitlán Izcalli,Cuautitlán Izcalli,Estado de México,México,90.0,1079,No Tec,2024-01-31T00:00:00.000Z,Perfil A,1,1,Estado de México,15.0,Solicitud,37.0,97.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Sonora Norte,HER,Mexicana,M,PBB,PBB,Hermosillo,Hermosillo,Sonora,México,90.5,1057,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,0,Sonora Norte,14.0,Solicitud,38.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Hidalgo,HGO,Mexicana,F,PBB,PBB,Actopan,Actopan,Hidalgo,México,94.0,1150,No Tec,2024-02-16T00:00:00.000Z,Perfil A+,1,1,Hidalgo,14.0,Solicitud,38.0,81.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,TOL,Mexicana,M,PBB,PBB,Metepec,Metepec,Estado de México,México,95.0,1112,No Tec,2024-01-17T00:00:00.000Z,Perfil A,1,1,Toluca,14.0,Solicitud,33.0,106.0,21.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Irapuato,IRA,Mexicana,F,PBB,PBB,Rancho Grande,Irapuato,Guanajuato,México,98.0,869,No Tec,2024-02-19T00:00:00.000Z,Perfil D,0,0,Irapuato,14.0,Solicitud,17.0,23.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Tampico,TAM,Mexicana,M,PBB,PBB,Ciudad Madero,Ciudad Madero,Tamaulipas,México,82.0,1044,No Tec,2024-02-06T00:00:00.000Z,Perfil A,1,1,Tampico,14.0,Solicitud,17.0,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,TOL,Mexicana,F,PBB,PBB,San Francisco Tlalcilalcalpan,Almoloya de Juárez,Estado de México,México,98.0,956,No Tec,2024-01-24T00:00:00.000Z,Perfil A,1,1,Toluca,14.0,Solicitud,10.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Querétaro,QRO,Mexicana,F,PBB,PBB,Santiago de Querétaro,Querétaro,Querétaro,México,96.0,1132,No Tec,2024-02-12T00:00:00.000Z,Perfil A+,1,1,Querétaro,15.0,Solicitud,19.0,71.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,F,PBB,PBB,Zapopan,Zapopan,Jalisco,México,86.0,923,No Tec,2024-02-20T00:00:00.000Z,Perfil B,1,1,Guadalajara,14.0,Solicitud,35.0,61.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,PTM,PTM,Santiago de Querétaro,Querétaro,Querétaro,México,92.5,1167,No Tec,2024-02-15T00:00:00.000Z,Perfil A+,1,1,Querétaro,14.0,Solicitud,38.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,MET,Mexicana,F,PBB,PBB,Metepec,Metepec,Estado de México,México,91.5,987,No Tec,2024-01-31T00:00:00.000Z,Perfil A,1,1,Toluca,15.0,Solicitud,38.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Estado de México,CEM,Mexicana,F,PBB,PBB,Ciudad Adolfo López Mateos,Atizapán de Zaragoza,Estado de México,México,96.0,1083,No Tec,2024-01-29T00:00:00.000Z,Perfil A,1,1,Estado de México,14.0,Solicitud,32.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,PBB,PBB,Coyoacán,Indefinido,Ciudad de México,México,93.5,1066,No Tec,2024-02-02T00:00:00.000Z,Perfil A,1,1,Ciudad de México,14.0,Solicitud,21.0,89.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,TOL,Mexicana,M,PBB,PBB,Mérida,Mérida,Yucatán,México,93.5,1212,No Tec,2024-02-13T00:00:00.000Z,Perfil A+,1,1,,14.0,Solicitud,26.0,79.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,F,PTM,PTM,Zapopan,Zapopan,Jalisco,México,93.0,1008,No Tec,2024-02-13T00:00:00.000Z,Perfil A,1,1,Guadalajara,15.0,Solicitud,50.0,83.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,PTM,PTM,Alvaro Obregón,Indefinido,Ciudad de México,México,92.5,1067,No Tec,2024-01-30T00:00:00.000Z,Perfil A,0,0,Santa Fe,15.0,Solicitud,43.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
