CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,V_PAA_MISSING
Guadalajara,GDA,Mexicana,M,P5,NEG,NEG,H00177,ITESM Campus Guadalajara,Zapopan,Zapopan,Jalisco,85.41,,2023-12-05T00:00:00.000Z,1,1,Guadalajara,17.0,Base de datos,45.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Tradicional,0.0,1.0,0.25,0.25,1
Estado de México,CEM,Mexicana,F,P5,CIS,LED,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,94.13,1282.0,2024-01-11T00:00:00.000Z,1,1,Estado de México,17.0,Solicitud,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0
Querétaro,QRO,Mexicana,M,P5,IIT,IC,H00158,ITESM Campus Querétaro,Santiago de Querétaro,Querétaro,Querétaro,92.29,1158.0,2023-12-04T00:00:00.000Z,1,1,Querétaro,18.0,Base de datos,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0
Monterrey,MTY,Mexicana,M,P5,ICI,ICI,H13917,ITESM Campus Santa Catarina,Ciudad Santa Catarina,Santa Catarina,Nuevo León,85.56,,2024-01-02T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,M,P5,CIS,CIS,H13917,ITESM Campus Santa Catarina,Ciudad Santa Catarina,Santa Catarina,Nuevo León,85.43,,2024-01-16T00:00:00.000Z,0,0,Monterrey,18.0,Base de datos,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Guadalajara,GDA,Mexicana,F,P5,CIS,LRI,H00177,ITESM Campus Guadalajara,Zapopan,Zapopan,Jalisco,87.93,1041.0,2023-11-29T00:00:00.000Z,0,0,Guadalajara,17.0,Base de datos,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0
Ciudad de México,CCM,Mexicana,M,P5,NEG,BGB,H00165,ITESM Campus Ciudad de México,Tlalpan,Indefinido,Ciudad de México,90.56,1329.0,2023-10-26T00:00:00.000Z,1,1,Ciudad de México,18.0,Marketing digital,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Toluca,TOL,Mexicana,F,P5,NEG,LEM,H00163,ITESM Campus Toluca,Toluca de Lerdo,Toluca,Estado de México,97.2,1284.0,2023-09-18T00:00:00.000Z,1,1,Toluca,17.0,Base de datos,,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Tradicional,0.0,1.0,0.4,0.0,0
Estado de México,CEM,Mexicana,M,P5,ICT,ICT,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,95.56,1405.0,2023-10-19T00:00:00.000Z,1,1,Estado de México,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
San Luis Potosí,SLP,Mexicana,F,P5,IIT,IIS,H00159,ITESM Campus San Luis Potosí,San Luis Potosí,San Luis Potosí,San Luis Potosí,91.0,,2023-10-25T00:00:00.000Z,1,1,San Luis Potosí,17.0,Solicitud,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Estado de México,CEM,Mexicana,M,P5,IIT,IIT,H00168,ITESM Campus Estado de México,Atizapán de Zaragoza,Atizapán de Zaragoza,Estado de México,97.36,1351.0,2023-10-04T00:00:00.000Z,1,1,Estado de México,18.0,Solicitud,42.0,0.0,1.0,0.35,0.25,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Tradicional,0.0,1.0,0.35,0.25,0
Monterrey,MTY,Mexicana,M,O5,ICT,ITC,H00174,ITESM Campus Sonora Norte,Hermosillo,Hermosillo,Sonora,92.45,1470.0,2023-10-27T00:00:00.000Z,1,1,Sonora Norte,17.0,Solicitud,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Hidalgo,HGO,Mexicana,M,P5,IIT,IIT,H00167,ITESM Campus Hidalgo,Pachuca de Soto,Pachuca de Soto,Hidalgo,95.36,,2023-11-08T00:00:00.000Z,1,1,Hidalgo,17.0,Base de datos,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,M,P5,NEG,CPF,H13917,ITESM Campus Santa Catarina,Ciudad Santa Catarina,Santa Catarina,Nuevo León,83.76,,2023-11-22T00:00:00.000Z,1,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Ciudad de México,CCM,Mexicana,F,P5,ESC,ESC,H00165,ITESM Campus Ciudad de México,Tlalpan,Indefinido,Ciudad de México,86.36,,2023-11-21T00:00:00.000Z,1,1,Ciudad de México,18.0,Base de datos,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
