CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,RUBRICA,ENSAYO,CV,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_POSBTT,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F
Guadalajara,GDA,Mexicana,M,N5,NEG,BFI,H60867,BACHILLERATO CERVANTES (Loma Bonita),Zapopan,México,93.0,1438,Perfil A,1,1,Guadalajara,17.0,Solicitud,110.0,25.0,25.0,0.0,1.0,0.2,0.2,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.0
Guadalajara,GDA,Mexicana,M,N5,IIT,IIT,H93230,West Aurora High School,,Estados Unidos de América,93.53,1142,Perfil B,0,0,Extranjero NO LATAM,18.0,Solicitud,80.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,ICT,ITC,H69190,Madison International School,Mérida,México,96.72,1426,Perfil A+,1,1,Puebla,18.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,N5,AMC,ARQ,H27146,Colegio Montpellier,Querétaro,México,94.0,1105,Perfil C,0,0,Querétaro,18.0,Solicitud,61.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,NEG,CPF,H00036,Colegio Regiomontano Contry,Monterrey,México,89.48,1233,Perfil A,0,0,Monterrey,17.0,Solicitud,94.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Salvadoreña,F,N5,NEG,LEM,H01731,Academia Británica Cuscatleca,,El Salvador,84.83,1317,Perfil A,0,0,Extranjero LATAM,18.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,N5,CIS,LED,H61082,Bachillerato Anahuac Morelia,Morelia,México,91.02,1290,Perfil A,1,1,Morelia,17.0,Solicitud,90.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toluca,TOL,Mexicana,F,N5,NEG,LEM,H44944,Argos Preparatory Academy,Metepec,México,86.93,1178,Perfil A,0,0,,19.0,Marketing digital,93.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
León,LEO,Mexicana,M,N5,NEG,LAE,H01183,Colegio Vasco de Quiroga,La Piedad,México,90.0,1391,Perfil A+,0,0,Guadalajara,21.0,Solicitud,110.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Toluca,TOL,Mexicana,F,N5,CIS,LED,H01064,Instituto México de Toluca,Toluca,México,93.82,1165,Perfil B,1,1,Toluca,17.0,Solicitud,63.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
