CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,RUBRICA,ENSAYO,CV,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_POSBTT,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F
Puebla,PUE,Mexicana,M,N5,IIT,BME,H49095,Instituto México de Puebla,San Andrés Cholula,México,97.0,1470,Perfil A+,0,0,,18.0,Solicitud,106.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Liderazgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,NEG,NEG,H04012,St. Johns Military Academy,,Estados Unidos de América,91.67,1232,Perfil A,1,1,Extranjero NO LATAM,19.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Hondureña,F,N5,CIS,LEC,H00981,Academia Los Pinares,,Honduras,97.98,1302,Perfil A,1,1,Extranjero LATAM,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Liderazgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sonora Norte,HER,Mexicana,M,N5,NEG,NEG,H93026,Instituto Irlandes Hermosillo,Hermosillo,México,80.0,1291,Perfil A,1,1,Sonora Norte,17.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,ICT,IRS,H12052,Esc Preparatoria Oficial 87,Atizapán de Zaragoza,México,94.0,1272,Perfil A,0,0,Estado de México,18.0,Solicitud,100.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,N5,NEG,NEG,H02393,Tomás Alva Edison (U.N.A.M.),Benito Juárez,México,94.0,1280,Perfil A,0,0,Ciudad de México,18.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,IBQ,IBT,H67922,Preparatoria Alfa Fundación,Monterrey,México,94.6,1445,Perfil A+,1,1,Monterrey,18.0,Solicitud,106.0,21.0,25.0,0.0,1.0,0.25,0.25,1.0,1.0,0.0,0.0,Liderazgo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.25
Monterrey,MTY,Mexicana,F,N5,NEG,NEG,H01747,Dana Hall School,,Estados Unidos de América,86.32,1169,Perfil B,1,1,Extranjero NO LATAM,18.0,Solicitud,70.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Estadounidense,F,N5,IIT,BIE,H01751,Vincent Memorial High School,,Estados Unidos de América,94.61,1330,Perfil B,1,1,Extranjero NO LATAM,17.0,Solicitud,70.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,F,N5,ESC,ARQ,H16826,Colegio Constantino,San Juan del Río,México,84.0,1162,Perfil C,0,0,Querétaro,17.0,Solicitud,50.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,CIS,LRI,H67922,Preparatoria Alfa Fundación,Monterrey,México,90.9,1367,Perfil A+,0,0,Monterrey,17.0,Solicitud,110.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aguascalientes,AGS,Mexicana,F,N5,NEG,LEM,H67451,Preparatoria Independencia,Calvillo,México,96.0,1167,Perfil B,0,0,Aguascalientes,18.0,Solicitud,62.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,NEG,NEG,H78184,St. John´s Northwestern,,Estados Unidos de América,97.85,1449,Perfil A+,1,1,Extranjero NO LATAM,19.0,Solicitud,85.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,N5,ICT,IRS,H00825,John F. Kennedy,Querétaro,México,93.47,1480,Perfil A+,1,1,Querétaro,19.0,Solicitud,95.0,25.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Hondureña,M,N5,ICI,INA,H21951,Freedom High School,,Honduras,95.11,1318,Perfil A,1,1,Extranjero LATAM,17.0,Marketing digital,110.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cuernavaca,MOR,Mexicana,M,N5,ICT,ITC,H45128,CETIS No. 43,Xochitepec,México,89.5,1205,Perfil A,0,0,,18.0,Solicitud,98.0,23.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cuernavaca,MOR,Mexicana,F,N5,ICT,ITC,H05575,C.B.T.I.S. No. 166,Jiutepec,México,97.0,1152,Perfil B,1,1,Cuernavaca,17.0,Solicitud,70.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad Juárez,CDJ,Mexicana,F,N5,ICT,ICT,H22473,COLEGIO DE BACHILLERES NO. 07,Ahualulco,México,99.0,1132,Perfil B,0,0,San Luis Potosí,17.0,Solicitud,70.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Toluca,TOL,Mexicana,F,N5,CIS,LED,H19579,UAEM Liceo V. de Tol Prepa 127,Metepec,México,90.96,1145,Perfil B,1,1,Toluca,18.0,Contacto directo,78.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,M,N5,IIT,IIS,H55551,Preparatoria de la Palapa,La Paz,México,91.0,1170,Perfil A,1,1,,17.0,Solicitud,108.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,IIT,BIE,H03124,Colegio Miraflores,Naucalpan de Juárez,México,96.0,1281,Perfil A,0,0,Estado de México,19.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,AMC,IC,H10463,Colegio Eton,Cuajimalpa de Morelos,México,80.9,1114,Perfil D,0,0,Santa Fe,18.0,Solicitud,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estado de México,CEM,Mexicana,M,N5,NEG,LAF,H08494,Preparatoria Oficial No. 27,Tepotzotlán,México,87.5,1253,Perfil A,1,1,Estado de México,18.0,Solicitud,95.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
León,LEO,Mexicana,M,N5,ICI,IDM,H67986,Colegio Monclair,León,México,96.0,1427,Perfil A+,1,1,León,17.0,Solicitud,92.0,17.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,F,N5,IBQ,IBT,H09297,Preparatoria Ofic de Salamanca,Salamanca,México,92.8,1253,Perfil A,0,0,Irapuato,17.0,Solicitud,91.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,AMC,ARQ,H06356,Bachillerato Cumbres Mérida,Mérida,México,87.75,1258,Perfil A,1,1,Puebla,18.0,Solicitud,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,N5,CIS,LTP,H09792,Justo Sierra Plantel Jacaranda,Indefinido,México,97.89,1031,Perfil D,1,1,Santa Fe,17.0,Solicitud,44.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estado de México,CEM,Mexicana,M,N5,IIT,IMT,H00711,Colegio Indoamericano S.C.,Tlalnepantla de Baz,México,89.0,1140,Perfil B,1,1,Estado de México,17.0,Marketing digital,65.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laguna,LAG,Mexicana,F,N5,IIT,IIT,H41430,Colegio Cervantes de Torreón,Torreón,México,95.44,1414,Perfil A+,1,1,Laguna,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,N5,IIT,IMT,H02393,Tomás Alva Edison (U.N.A.M.),Benito Juárez,México,99.45,1437,Perfil A+,1,1,Ciudad de México,18.0,Contacto directo,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,IIT,IIS,H44650,Delmar International School,Los Cabos,México,80.0,1203,Perfil A,1,1,Guadalajara,17.0,Solicitud,90.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,M,N5,AMC,IC,H12214,Colegio de Ciencias y Letras,Tepic,México,96.0,1357,Perfil A,1,1,Guadalajara,17.0,Solicitud,95.0,25.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,N5,IBQ,IQ,H79204,P P I Universidad de Celaya,Celaya,México,89.3,1348,Perfil A,0,0,,17.0,Solicitud,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,N5,ICI,ICI,H65718,Bachillerato Cumbres Oaxaca,Oaxaca de Juárez,México,95.0,1305,Perfil A,1,1,Puebla,19.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,IIT,IM,H67922,Preparatoria Alfa Fundación,Monterrey,México,92.1,1407,Perfil A+,1,1,Monterrey,18.0,Solicitud,106.0,21.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,N5,IIT,IID,H00397,Patria,Tuxpan,México,86.78,1191,Perfil A,0,0,Puebla,17.0,Marketing digital,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,IBQ,IBT,H67922,Preparatoria Alfa Fundación,Monterrey,México,90.5,1389,Perfil A+,0,0,Monterrey,17.0,Solicitud,102.0,17.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Estado de México,CEM,Mexicana,F,N5,NEG,LIN,H15681,Tecnológico del Plantel Azteca,Gustavo A. Madero,México,99.13,1378,Perfil A+,0,0,Estado de México,17.0,Solicitud,94.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chihuahua,CHH,Mexicana,F,N5,CIS,CIS,H00114,Activo 20-30 Albert Einstein,Delicias,México,95.5,1263,Perfil A,1,1,Chihuahua,17.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,NEG,BGB,H01279,The American School Foundation,Indefinido,México,81.75,1233,Perfil A,1,1,Santa Fe,18.0,Solicitud,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,N5,NEG,LEM,H01864,Escuela Tomás Alva Edison,Indefinido,México,95.5,1180,Perfil A,0,0,Ciudad de México,17.0,Solicitud,94.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,N5,CIS,LEC,H68296,Preparatoria Iberoamericana,Lerma,México,86.85,1197,Perfil A,0,0,,18.0,Solicitud,92.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,NEG,CPF,H67922,Preparatoria Alfa Fundación,Monterrey,México,97.7,1486,Perfil A+,0,0,Monterrey,17.0,Solicitud,110.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,ESC,ARQ,H00068,Preparatoria No. 22 (U.A.N.L.),Guadalupe,México,90.14,1227,Perfil A,1,1,Monterrey,19.0,Solicitud,91.0,21.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,NEG,LEM,H02121,Colegio Miraflores,León,México,81.69,1328,Perfil A,1,1,León,19.0,Solicitud,104.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,M,N5,ICI,IDM,H00768,COLEGIO CERVANTES (Costa Rica),Guadalajara,México,75.6,1361,Perfil B,1,1,Guadalajara,18.0,Solicitud,62.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,F,N5,CIS,LED,H12214,Colegio de Ciencias y Letras,Tepic,México,90.0,1139,Perfil B,1,1,Guadalajara,17.0,Marketing digital,58.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,M,N5,SLD,MC,H68065,BACHILLERATO INTERAMERICANO,Sahuayo,México,100.0,1423,Perfil A+,1,1,Guadalajara,17.0,Solicitud,86.0,11.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICT,ITD,H67922,Preparatoria Alfa Fundación,Monterrey,México,94.1,1446,Perfil A+,0,0,Monterrey,17.0,Marketing digital,100.0,15.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,IBQ,IDS,H67922,Preparatoria Alfa Fundación,Monterrey,México,90.61,1441,Perfil A+,0,0,Monterrey,17.0,Solicitud,100.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,F,N5,NEG,LEM,H02546,Colegio del Bosque,Indefinido,México,93.74,1155,Perfil B,0,0,Santa Fe,17.0,Marketing digital,76.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,N5,IIT,IIT,H60930,Universidad Contemporanea,Querétaro,México,90.0,1421,Perfil A+,1,1,Querétaro,17.0,Marketing digital,94.0,19.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Saltillo,SAL,Mexicana,F,N5,NEG,NEG,H01523,Liceo Alberto del Canto A.C.,Arteaga,México,91.82,1196,Perfil A,1,1,Saltillo,17.0,Solicitud,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toluca,TOL,Mexicana,F,N5,IIT,IMD,H01064,Instituto México de Toluca,Toluca,México,98.99,1403,Perfil A+,1,1,Toluca,17.0,Solicitud,93.0,23.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,SLD,MC,H67922,Preparatoria Alfa Fundación,Monterrey,México,93.0,1377,Perfil A+,1,1,Monterrey,17.0,Marketing digital,100.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,M,N5,SLD,MC,H12214,Colegio de Ciencias y Letras,Tepic,México,95.0,1378,Perfil A+,1,1,Guadalajara,17.0,Solicitud,93.0,23.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Hondureña,M,N5,IIT,IIT,H77951,Acton Academy Honduras,,Honduras,93.5,1353,Perfil A,0,0,Extranjero LATAM,16.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,F,N5,AMC,ARQ,H00808,Preparatoria Cristobal Colón,Tepic,México,90.93,1200,Perfil A,1,1,Guadalajara,17.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,F,N5,NEG,LAE,H12214,Colegio de Ciencias y Letras,Tepic,México,98.0,1287,Perfil A,0,0,Guadalajara,17.0,Solicitud,100.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,ESC,LEI,H67922,Preparatoria Alfa Fundación,Monterrey,México,94.7,1500,Perfil A+,0,0,Monterrey,17.0,Solicitud,110.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,ICT,ITC,H02271,Colegio Franco Inglés,Cuajimalpa de Morelos,México,97.0,1427,Perfil A+,1,1,Santa Fe,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,IIT,IIT,H13591,UANL Preparatoria No. 1 Unidad,Apodaca,México,92.24,1191,Perfil A,1,1,Monterrey,17.0,Solicitud,95.0,25.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,M,N5,CIS,LEC,H00226,Colegio Ignacio Zaragoza A.C.,Saltillo,México,83.13,1233,Perfil A,0,0,Saltillo,18.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,N5,NEG,LAF,H62864,UNIVERSIDAD POPULAR,Xalapa,México,96.0,1162,Perfil B,0,0,Puebla,17.0,Solicitud,80.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aguascalientes,AGS,Mexicana,F,N5,NEG,LIN,H00686,Esc. de Cd. de Aguascalientes,Aguascalientes,México,92.75,1221,Perfil A,1,1,Aguascalientes,17.0,Solicitud,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toluca,TOL,Mexicana,M,N5,ICI,ICI,H15180,CECYTEM Plantel Coatepec Har,Coatepec Harinas,México,80.58,1272,Perfil A,1,1,Toluca,17.0,Solicitud,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,N5,NEG,LAF,H06527,Instituto Blaise Pascale,Oaxaca de Juárez,México,90.0,1297,Perfil A,0,0,Puebla,17.0,Solicitud,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,IIT,IIS,H69014,Madison International School,Mérida,México,87.07,1281,Perfil A,1,1,Puebla,18.0,Solicitud,110.0,25.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,N5,IBQ,IBT,H67847,COLEGIO HISPANO AMERICANO,Carmen,México,98.03,1346,Perfil A,1,1,Puebla,17.0,Solicitud,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,F,N5,IIT,BIE,H02546,Colegio del Bosque,Indefinido,México,94.66,1220,Perfil A,1,1,Santa Fe,17.0,Solicitud,91.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuernavaca,MOR,Mexicana,F,N5,ICT,ITC,H01551,Colegio Marymount,Cuernavaca,México,91.0,1291,Perfil A,1,1,Cuernavaca,18.0,Solicitud,90.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,F,N5,IIT,IC,H67922,Preparatoria Alfa Fundación,Monterrey,México,90.3,1474,Perfil A+,0,0,Monterrey,17.0,Solicitud,110.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
