SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
TOL,Mexicana,F,P5,LAF,H00163,Estado de México,96.46,0,2023-09-18T00:00:00.000Z,0,Toluca,17.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,O5,IC,H04128,Aguascalientes,94.2,1464,2023-10-12T00:00:00.000Z,1,Aguascalientes,17.0,Base de datos,21.0,0.0,0.0,1.0,0.0,Atletico,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
MTY,Mexicana,F,O5,BFI,H19021,Nuevo León,84.32,0,2024-01-02T00:00:00.000Z,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,P5,LED,H00168,Estado de México,83.96,0,2023-10-11T00:00:00.000Z,1,Estado de México,17.0,Marketing digital,18.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,F,P5,ARQ,H00174,Sonora,94.0,1430,2023-10-16T00:00:00.000Z,1,Sonora Norte,18.0,Base de datos,43.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,P5,IIT,H13819,Ciudad de México,91.16,1432,2023-09-15T00:00:00.000Z,1,Santa Fe,17.0,Base de datos,41.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,P5,IRS,H00165,Ciudad de México,92.5,1245,2023-11-09T00:00:00.000Z,1,Ciudad de México,17.0,Solicitud,41.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CCM,Mexicana,F,P5,CPF,H00165,Ciudad de México,92.73,1092,2023-09-27T00:00:00.000Z,0,Ciudad de México,17.0,Solicitud,19.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,P5,CIS,H13989,Nuevo León,95.8,1406,2023-10-10T00:00:00.000Z,1,Monterrey,18.0,Base de datos,48.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,P5,LEC,H00165,Ciudad de México,95.56,1481,2023-10-27T00:00:00.000Z,1,Ciudad de México,17.0,Solicitud,42.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
