SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
QRO,Mexicana,M,N5,IM,H09585,Hidalgo,96.0,1369,No Tec,2024-01-02T00:00:00.000Z,Perfil A+,0,Querétaro,17.0,Marketing digital,,98.0,13.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,BIE,H13239,Nuevo León,98.75,1470,No Tec,2024-02-20T00:00:00.000Z,Perfil A+,0,Monterrey,18.0,Solicitud,,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,N5,LAD,H08641,Ciudad de México,87.92,1187,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,Ciudad de México,18.0,Solicitud,30.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IRS,H13239,Nuevo León,93.8,1281,No Tec,2024-02-06T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,F,N5,LED,H01833,,82.86,1122,No Tec,2024-02-16T00:00:00.000Z,Perfil D,1,Extranjero NO LATAM,17.0,Solicitud,47.0,44.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,N5,NEG,H13961,Quintana Roo,92.0,1219,No Tec,2024-01-18T00:00:00.000Z,Perfil A,1,Puebla,18.0,Solicitud,46.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,N5,IIT,H01810,Ciudad de México,88.0,1357,No Tec,2024-01-09T00:00:00.000Z,Perfil A,0,Ciudad de México,18.0,Solicitud,50.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TAM,Mexicana,F,N5,NEG,H08990,Tamaulipas,94.0,1238,No Tec,2024-02-06T00:00:00.000Z,Perfil B,0,Tampico,17.0,Solicitud,12.0,70.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,F,N5,BGB,H20949,Guanajuato,96.0,1062,No Tec,2024-03-01T00:00:00.000Z,Perfil D,0,Querétaro,17.0,Marketing digital,24.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H00006,Nuevo León,86.9,1160,No Tec,2024-02-08T00:00:00.000Z,Perfil B,0,Monterrey,18.0,Marketing digital,37.0,63.0,23.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,M,N5,IIS,H02092,Chihuahua,88.0,1201,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,Chihuahua,18.0,Solicitud,42.0,86.0,11.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,N5,CIS,H12703,Estado de México,80.38,1170,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,Estado de México,17.0,Marketing digital,15.0,82.0,12.0,10.0,0.0,0.0,0.0,0.0,Atletico,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
MTY,Mexicana,M,N5,IE,H00021,Nuevo León,81.15,1182,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Solicitud,50.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
