SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
MTY,Mexicana,F,N5,IM,H04487,Veracruz,96.11,1410,No Tec,2023-12-11T00:00:00.000Z,Perfil A+,1,Puebla,17.0,Solicitud,,85.0,25.0,0.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,N5,IMT,H62584,Jalisco,90.05,1276,No Tec,2024-02-19T00:00:00.000Z,Perfil A,0,Guadalajara,17.0,Solicitud,46.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,LTM,H19549,Nuevo León,83.64,1282,No Tec,2024-01-18T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,31.0,79.0,9.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,M,N5,IIS,H93026,Sonora,92.0,1407,No Tec,2024-02-15T00:00:00.000Z,Perfil A+,0,Sonora Norte,18.0,Solicitud,40.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,F,N5,LAF,H15744,Estado de México,93.75,1259,No Tec,2023-12-12T00:00:00.000Z,Perfil A,0,Estado de México,17.0,Marketing digital,45.0,93.0,23.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,M,N5,IM,H20986,Tabasco,95.0,1281,No Tec,2023-11-30T00:00:00.000Z,Perfil D,1,Puebla,17.0,Solicitud,47.0,35.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MOR,Mexicana,M,N5,IIS,H60445,Morelos,93.0,1202,No Tec,2023-11-16T00:00:00.000Z,Perfil A,1,Cuernavaca,17.0,Solicitud,29.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,F,N5,LED,H15744,Estado de México,89.2,1236,No Tec,2024-02-28T00:00:00.000Z,Perfil A,0,Estado de México,17.0,Solicitud,41.0,96.0,11.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SAL,Mexicana,M,N5,NEG,H02868,Coahuila,87.46,1356,No Tec,2023-11-24T00:00:00.000Z,Perfil A,1,Saltillo,17.0,Solicitud,50.0,94.0,19.0,15.0,0.2,0.2,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CEM,Mexicana,F,N5,ARQ,H00711,Estado de México,100.0,1422,No Tec,2023-10-11T00:00:00.000Z,Perfil A+,1,Estado de México,19.0,Solicitud,,100.0,25.0,15.0,0.2,0.2,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.2,0.2,2.0,0.0
LAG,Indefinida,F,N5,IMD,H01615,Coahuila,97.68,1416,No Tec,2023-12-06T00:00:00.000Z,Perfil A+,0,Laguna,17.0,Marketing digital,,100.0,15.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIS,H09875,Nuevo León,93.47,1370,No Tec,2024-02-06T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,50.0,70.0,0.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,N5,IMT,H00948,Estado de México,95.5,1363,No Tec,2023-12-01T00:00:00.000Z,Perfil A+,1,Estado de México,19.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,BGB,H66269,Nuevo León,87.93,1266,No Tec,2024-02-12T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,50.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,N5,LIN,H00168,Estado de México,98.81,1226,No Tec,2024-01-18T00:00:00.000Z,Perfil A,0,Estado de México,19.0,Marketing digital,36.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IQ,H01529,Nuevo León,86.5,1310,No Tec,2023-11-29T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Solicitud,50.0,95.0,25.0,10.0,0.1,0.1,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.1,0.1,2.0,0.0
MTY,Mexicana,F,N5,ESC,H61277,Nuevo León,99.14,1248,No Tec,2024-01-02T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,46.0,110.0,25.0,25.0,0.25,0.25,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.25,0.25,2.0,0.0
MTY,Mexicana,M,N5,IFI,H40208,Veracruz,97.69,1426,No Tec,2024-01-26T00:00:00.000Z,Perfil A+,1,Puebla,18.0,Solicitud,,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,F,N5,IAL,H08378,Yucatán,98.7,1437,No Tec,2024-01-18T00:00:00.000Z,Perfil A+,1,Puebla,19.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,BGB,H15469,Nuevo León,97.5,1245,No Tec,2024-02-20T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,45.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Estadounidense,M,N5,IC,H21707,Sinaloa,87.59,1191,No Tec,2024-02-29T00:00:00.000Z,Perfil A,0,Sinaloa,17.0,Solicitud,39.0,93.0,23.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SAL,Mexicana,M,N5,IMT,H01523,Coahuila,93.36,1349,No Tec,2023-12-06T00:00:00.000Z,Perfil A,1,Saltillo,16.0,Solicitud,43.0,90.0,15.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,M,N5,ICT,H67984,Sinaloa,100.0,1400,No Tec,2023-11-28T00:00:00.000Z,Perfil A+,1,Sinaloa,17.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,BGB,H62088,Nuevo León,94.61,1243,No Tec,2023-10-19T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,Liderazgo,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
CCM,Mexicana,M,N5,LAE,H46371,Ciudad de México,89.41,1191,No Tec,2023-12-02T00:00:00.000Z,Perfil A,1,,18.0,Solicitud,30.0,78.0,23.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,LAF,H21980,Guerrero,100.0,1284,No Tec,2023-11-15T00:00:00.000Z,Perfil A,1,Cuernavaca,18.0,Contacto directo,36.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IC,H09875,Nuevo León,84.94,1174,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,45.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ARQ,H00178,Sinaloa,99.7,1217,No Tec,2024-02-12T00:00:00.000Z,Perfil A,0,Guadalajara,19.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,ARQ,H66269,Nuevo León,92.75,1237,No Tec,2024-01-16T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Estadounidense,F,N5,ARQ,H15466,Nuevo León,96.85,1171,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,28.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LEM,H19549,Nuevo León,92.45,1226,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,Monterrey,18.0,Solicitud,50.0,89.0,19.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,F,N5,LLE,H61277,Nuevo León,97.82,1264,No Tec,2024-02-12T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Solicitud,50.0,91.0,21.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,F,N5,ARQ,H66269,Nuevo León,92.83,1357,No Tec,2023-11-09T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Solicitud,50.0,96.0,21.0,15.0,0.1,0.1,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.1,0.1,2.0,0.0
CCM,Mexicana,M,N5,LAF,H46371,Ciudad de México,93.06,1272,No Tec,2023-10-11T00:00:00.000Z,Perfil A,1,,17.0,Solicitud,30.0,106.0,21.0,25.0,0.2,0.2,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.2,0.0,2.0,0.0
CSF,Ecuatoriana,M,N5,ITD,H00435,Ciudad de México,96.9,1371,No Tec,2023-12-11T00:00:00.000Z,Perfil A+,1,Santa Fe,18.0,Solicitud,50.0,102.0,17.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LRI,H15466,Nuevo León,95.52,1164,No Tec,2024-02-01T00:00:00.000Z,Perfil B,0,Monterrey,16.0,Solicitud,50.0,64.0,19.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H62527,Estado de México,76.95,1333,No Tec,2023-11-06T00:00:00.000Z,Perfil B,1,Estado de México,18.0,Solicitud,46.0,65.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LLE,H66269,Nuevo León,86.22,1204,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Marketing digital,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Venezolana,F,N5,IMT,H02271,Ciudad de México,91.0,1331,No Tec,2024-02-07T00:00:00.000Z,Perfil A,1,Santa Fe,17.0,Solicitud,50.0,92.0,17.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IMT,H20950,Nuevo León,93.12,1073,No Tec,2024-02-16T00:00:00.000Z,Perfil D,1,Monterrey,17.0,Solicitud,23.0,38.0,23.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CDJ,Mexicana,F,N5,LIN,H60577,Chihuahua,93.68,1281,No Tec,2023-11-27T00:00:00.000Z,Perfil A,1,Ciudad Juárez,17.0,Solicitud,45.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IMT,H59951,Nuevo León,94.8,1095,No Tec,2024-02-14T00:00:00.000Z,Perfil D,0,,17.0,Solicitud,38.0,38.0,23.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,ITC,H60224,Querétaro,90.5,1386,No Tec,2023-12-12T00:00:00.000Z,Perfil A+,1,Querétaro,17.0,Solicitud,50.0,100.0,15.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LDI,H10922,Aguascalientes,90.0,1182,No Tec,2023-11-22T00:00:00.000Z,Perfil A,1,Aguascalientes,19.0,Marketing digital,50.0,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MOR,Mexicana,M,N5,IIT,H60445,Morelos,95.0,1283,No Tec,2023-11-29T00:00:00.000Z,Perfil A,1,Cuernavaca,17.0,Solicitud,40.0,110.0,25.0,25.0,0.25,0.25,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.25,0.0,2.0,0.0
MTY,Mexicana,M,N5,IQ,H67043,Veracruz,89.0,1281,No Tec,2024-01-18T00:00:00.000Z,Perfil A,1,Puebla,20.0,Solicitud,50.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,LIT,H00101,Puebla,93.0,1341,No Tec,2024-01-26T00:00:00.000Z,Perfil A,1,Puebla,20.0,Solicitud,47.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,N5,LAD,H45004,Estado de México,90.0,1252,No Tec,2024-01-18T00:00:00.000Z,Perfil A,1,Hidalgo,21.0,Solicitud,28.0,88.0,13.0,15.0,0.0,0.0,0.0,0.9,Atletico,0.0,1.0,Talento Estudiantil,1.0,0.9,0.0,0.0,2.0
CCM,Mexicana,M,N5,LEM,H69140,Veracruz,92.0,1280,No Tec,2023-10-23T00:00:00.000Z,Perfil A,0,,19.0,Solicitud,50.0,85.0,15.0,10.0,0.2,0.2,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,M,N5,ICT,H15466,Nuevo León,94.68,1382,No Tec,2024-01-18T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,50.0,91.0,21.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,M,N5,IMT,H93026,Sonora,96.0,1379,No Tec,2023-11-09T00:00:00.000Z,Perfil A+,0,Sonora Norte,17.0,Solicitud,50.0,100.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,NEG,H66269,Nuevo León,85.38,1203,No Tec,2024-02-27T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,28.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,Liderazgo,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
MTY,Mexicana,F,N5,ICT,H66269,Nuevo León,94.0,1297,No Tec,2024-01-25T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,43.0,91.0,21.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,N5,LEC,H05207,Ciudad de México,97.51,1328,No Tec,2024-02-21T00:00:00.000Z,Perfil A,1,Estado de México,20.0,Solicitud,26.0,100.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,N5,LED,H03448,Hidalgo,82.78,1178,No Tec,2024-01-26T00:00:00.000Z,Perfil A,0,Hidalgo,17.0,Solicitud,45.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IFI,H00825,Querétaro,83.0,1356,No Tec,2024-01-16T00:00:00.000Z,Perfil A,1,Querétaro,19.0,Solicitud,50.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,BME,H66269,Nuevo León,94.16,1277,No Tec,2024-01-31T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,43.0,100.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IMT,H08452,Coahuila,90.43,1328,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,Saltillo,16.0,Solicitud,47.0,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H61277,Nuevo León,93.57,1386,No Tec,2024-02-01T00:00:00.000Z,Perfil A+,1,Monterrey,16.0,Solicitud,33.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,M,N5,BME,H48997,Puebla,93.0,1245,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,,17.0,Solicitud,,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICT,H66269,Nuevo León,93.05,1429,No Tec,2023-12-05T00:00:00.000Z,Perfil A+,0,Monterrey,16.0,Solicitud,50.0,98.0,23.0,15.0,0.2,0.2,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.2,0.2,2.0,0.0
MTY,Mexicana,M,N5,IMT,H15469,Nuevo León,98.24,1398,No Tec,2023-12-04T00:00:00.000Z,Perfil A+,1,Monterrey,16.0,Marketing digital,50.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MOR,Mexicana,F,N5,IIS,H16277,Ciudad de México,79.0,1206,No Tec,2024-01-31T00:00:00.000Z,Perfil B,0,Santa Fe,17.0,Solicitud,24.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,Liderazgo,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
MTY,Mexicana,F,N5,IFI,H66269,Nuevo León,92.77,1381,No Tec,2023-12-12T00:00:00.000Z,Perfil A+,1,Monterrey,16.0,Solicitud,44.0,110.0,25.0,25.0,0.25,0.0,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.25,0.0,2.0,0.0
MTY,Mexicana,F,N5,NEG,H02724,Nuevo León,95.72,1206,No Tec,2023-11-16T00:00:00.000Z,Perfil A,0,Monterrey,18.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H19549,Nuevo León,92.53,1342,No Tec,2024-02-06T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Solicitud,46.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Chilena,F,N5,IC,H15161,Jalisco,88.67,1175,No Tec,2024-02-21T00:00:00.000Z,Perfil A,1,Guadalajara,18.0,Solicitud,26.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,M,N5,LAF,H43899,Sinaloa,84.0,1259,No Tec,2023-12-12T00:00:00.000Z,Perfil A,0,Sinaloa,18.0,Solicitud,50.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H00144,Coahuila,87.55,1280,No Tec,2023-12-12T00:00:00.000Z,Perfil A,0,Saltillo,17.0,Solicitud,50.0,84.0,9.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H15466,Nuevo León,92.48,1312,No Tec,2023-12-15T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Contacto directo,49.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
LAG,Mexicana,M,N5,INA,H21201,Coahuila,92.62,1254,No Tec,2023-11-20T00:00:00.000Z,Perfil A,1,Laguna,17.0,Solicitud,26.0,100.0,25.0,15.0,0.25,0.25,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.25,0.25,2.0,0.0
MTY,Mexicana,F,N5,NEG,H15469,Nuevo León,93.9,1132,No Tec,2023-11-06T00:00:00.000Z,Perfil B,0,Monterrey,16.0,Solicitud,23.0,72.0,17.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LRI,H15466,Nuevo León,91.81,1134,No Tec,2024-02-14T00:00:00.000Z,Perfil B,0,Monterrey,18.0,Solicitud,13.0,74.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,M,N5,IQ,H00740,Sonora,94.07,1192,No Tec,2023-11-09T00:00:00.000Z,Perfil A,0,Sonora Norte,17.0,Solicitud,40.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,BGB,H00926,Puebla,94.7,1107,No Tec,2024-01-29T00:00:00.000Z,Perfil C,0,Puebla,17.0,Marketing digital,50.0,65.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Británica,M,N5,ESC,H18543,,98.84,1449,No Tec,2024-01-22T00:00:00.000Z,Perfil A+,0,Extranjero NO LATAM,17.0,Solicitud,50.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,ICT,H13707,Baja California Sur,100.0,1191,No Tec,2024-02-12T00:00:00.000Z,Perfil A,0,Guadalajara,20.0,Solicitud,44.0,102.0,17.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MOR,Mexicana,F,N5,LIN,H16032,Morelos,98.1,1140,No Tec,2024-01-04T00:00:00.000Z,Perfil B,1,Cuernavaca,19.0,Solicitud,26.0,76.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,N5,LAE,H66735,Jalisco,98.0,1365,No Tec,2024-02-14T00:00:00.000Z,Perfil A+,0,,21.0,Solicitud,31.0,94.0,19.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,N5,IC,H61948,Jalisco,87.8,1145,No Tec,2024-02-14T00:00:00.000Z,Perfil B,1,Guadalajara,19.0,Solicitud,21.0,70.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,LEM,H66269,Nuevo León,91.76,1200,No Tec,2024-01-15T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IRS,H61277,Nuevo León,92.9,1241,No Tec,2024-01-02T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Marketing digital,32.0,88.0,13.0,15.0,0.15,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CEM,Mexicana,M,N5,IM,H15744,Estado de México,97.0,1234,No Tec,2023-10-26T00:00:00.000Z,Perfil A,0,Estado de México,19.0,Solicitud,23.0,94.0,19.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H62088,Nuevo León,97.9,1315,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Solicitud,43.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,F,N5,NEG,H65396,Chihuahua,93.0,1213,No Tec,2024-02-06T00:00:00.000Z,Perfil A,0,Chihuahua,17.0,Solicitud,46.0,79.0,4.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,F,N5,ARQ,H03635,Sinaloa,100.0,1303,No Tec,2024-02-15T00:00:00.000Z,Perfil A,0,Guadalajara,17.0,Solicitud,42.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,BIE,H69103,Chiapas,90.0,1112,No Tec,2024-02-21T00:00:00.000Z,Perfil C,0,Puebla,17.0,Solicitud,50.0,46.0,16.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
LAG,Estadounidense,M,N5,INA,H21201,Coahuila,97.61,1333,No Tec,2024-02-16T00:00:00.000Z,Perfil A,0,Laguna,16.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
